,Year,Month,Mean Temp (°C),Date/Time
298,1961,NOV,3.2,1961-11
299,1961,DEC,-2.5,1961-12
300,1962,JAN,-7.3,1962-01
301,1962,FEB,-8.1,1962-02
302,1962,MAR,-0.4,1962-03
303,1962,APR,6.9,1962-04
304,1962,MAY,15.9,1962-05
305,1962,JUN,18.7,1962-06
306,1962,JUL,19.8,1962-07
307,1962,AUG,20.5,1962-08
308,1962,SEP,14.5,1962-09
309,1962,OCT,10.3,1962-10
310,1962,NOV,2.4,1962-11
311,1962,DEC,-4.5,1962-12
312,1963,JAN,-8.6,1963-01
313,1963,FEB,-9.4,1963-02
314,1963,MAR,0.8,1963-03
315,1963,APR,6.9,1963-04
316,1963,MAY,12.0,1963-05
317,1963,JUN,19.2,1963-06
318,1963,JUL,21.4,1963-07
319,1963,AUG,18.9,1963-08
320,1963,SEP,14.0,1963-09
321,1963,OCT,13.6,1963-10
322,1963,NOV,6.2,1963-11
323,1963,DEC,-7.5,1963-12
324,1964,JAN,-4.0,1964-01
325,1964,FEB,-6.1,1964-02
326,1964,MAR,-0.8,1964-03
327,1964,APR,5.8,1964-04
328,1964,MAY,13.8,1964-05
329,1964,JUN,16.7,1964-06
330,1964,JUL,21.1,1964-07
331,1964,AUG,16.8,1964-08
332,1964,SEP,14.2,1964-09
333,1964,OCT,7.6,1964-10
334,1964,NOV,3.8,1964-11
335,1964,DEC,-3.3,1964-12
336,1965,JAN,-6.9,1965-01
337,1965,FEB,-5.9,1965-02
338,1965,MAR,-3.5,1965-03
339,1965,APR,3.4,1965-04
340,1965,MAY,13.3,1965-05
341,1965,JUN,16.5,1965-06
342,1965,JUL,17.3,1965-07
343,1965,AUG,18.1,1965-08
344,1965,SEP,15.2,1965-09
345,1965,OCT,7.3,1965-10
346,1965,NOV,2.7,1965-11
347,1965,DEC,-0.7,1965-12
348,1966,JAN,-8.2,1966-01
349,1966,FEB,-5.3,1966-02
350,1966,MAR,0.7,1966-03
351,1966,APR,4.6,1966-04
352,1966,MAY,9.4,1966-05
353,1966,JUN,17.8,1966-06
354,1966,JUL,21.3,1966-07
355,1966,AUG,19.4,1966-08
356,1966,SEP,14.0,1966-09
357,1966,OCT,8.3,1966-10
358,1966,NOV,3.9,1966-11
359,1966,DEC,-3.2,1966-12
360,1967,JAN,-3.5,1967-01
361,1967,FEB,-8.7,1967-02
362,1967,MAR,-2.5,1967-03
363,1967,APR,6.1,1967-04
364,1967,MAY,8.5,1967-05
365,1967,JUN,19.3,1967-06
366,1967,JUL,18.9,1967-07
367,1967,AUG,17.9,1967-08
368,1967,SEP,14.2,1967-09
369,1967,OCT,8.8,1967-10
370,1967,NOV,1.3,1967-11
371,1967,DEC,-1.9,1967-12
372,1968,JAN,-8.8,1968-01
373,1968,FEB,-7.6,1968-02
374,1968,MAR,0.3,1968-03
375,1968,APR,7.6,1968-04
376,1968,MAY,9.7,1968-05
377,1968,JUN,16.4,1968-06
378,1968,JUL,19.5,1968-07
379,1968,AUG,18.7,1968-08
380,1968,SEP,16.6,1968-09
381,1968,OCT,10.1,1968-10
382,1968,NOV,2.6,1968-11
383,1968,DEC,-4.8,1968-12
384,1969,JAN,-6.5,1969-01
385,1969,FEB,-5.1,1969-02
386,1969,MAR,-1.8,1969-03
387,1969,APR,6.8,1969-04
388,1969,MAY,11.2,1969-05
389,1969,JUN,15.9,1969-06
390,1969,JUL,20.1,1969-07
391,1969,AUG,20.9,1969-08
392,1969,SEP,15.6,1969-09
393,1969,OCT,8.3,1969-10
394,1969,NOV,3.3,1969-11
395,1969,DEC,-6.3,1969-12
396,1970,JAN,-10.9,1970-01
397,1970,FEB,-6.6,1970-02
398,1970,MAR,-2.3,1970-03
399,1970,APR,6.6,1970-04
400,1970,MAY,12.0,1970-05
401,1970,JUN,17.1,1970-06
402,1970,JUL,20.6,1970-07
403,1970,AUG,19.7,1970-08
404,1970,SEP,15.4,1970-09
405,1970,OCT,10.1,1970-10
406,1970,NOV,4.1,1970-11
407,1970,DEC,-5.2,1970-12
408,1971,JAN,-9.2,1971-01
409,1971,FEB,-5.2,1971-02
410,1971,MAR,-3.5,1971-03
411,1971,APR,4.6,1971-04
412,1971,MAY,11.6,1971-05
413,1971,JUN,17.9,1971-06
414,1971,JUL,19.0,1971-07
415,1971,AUG,18.8,1971-08
416,1971,SEP,16.9,1971-09
417,1971,OCT,12.6,1971-10
418,1971,NOV,2.6,1971-11
419,1971,DEC,-1.3,1971-12
420,1972,JAN,-6.0,1972-01
421,1972,FEB,-8.0,1972-02
422,1972,MAR,-4.3,1972-03
423,1972,APR,2.8,1972-04
424,1972,MAY,13.0,1972-05
425,1972,JUN,15.6,1972-06
426,1972,JUL,19.8,1972-07
427,1972,AUG,18.5,1972-08
428,1972,SEP,15.4,1972-09
429,1972,OCT,6.3,1972-10
430,1972,NOV,1.0,1972-11
431,1972,DEC,-3.1,1972-12
432,1973,JAN,-4.3,1973-01
433,1973,FEB,-7.6,1973-02
434,1973,MAR,3.2,1973-03
435,1973,APR,6.5,1973-04
436,1973,MAY,10.9,1973-05
437,1973,JUN,18.4,1973-06
438,1973,JUL,20.8,1973-07
439,1973,AUG,21.9,1973-08
440,1973,SEP,15.7,1973-09
441,1973,OCT,10.7,1973-10
442,1973,NOV,3.6,1973-11
443,1973,DEC,-4.5,1973-12
444,1974,JAN,-5.9,1974-01
445,1974,FEB,-8.0,1974-02
446,1974,MAR,-1.0,1974-03
447,1974,APR,7.0,1974-04
448,1974,MAY,9.9,1974-05
449,1974,JUN,16.6,1974-06
450,1974,JUL,20.3,1974-07
451,1974,AUG,19.7,1974-08
452,1974,SEP,13.9,1974-09
453,1974,OCT,7.1,1974-10
454,1974,NOV,3.1,1974-11
