,year,month,date_time,mean_temp
440,1876,OCT,1876-10-01,5.9
441,1876,SEP,1876-09-01,14.3
442,1877,APR,1877-04-01,6.5
443,1877,AUG,1877-08-01,20.9
444,1877,DEC,1877-12-01,1.2
445,1877,FEB,1877-02-01,-2.0
446,1877,JAN,1877-01-01,-8.8
447,1877,JUL,1877-07-01,21.1
448,1877,JUN,1877-06-01,16.7
449,1877,MAR,1877-03-01,-3.6
450,1877,MAY,1877-05-01,12.0
451,1877,NOV,1877-11-01,3.0
452,1877,OCT,1877-10-01,9.9
453,1877,SEP,1877-09-01,16.6
454,1878,APR,1878-04-01,9.7
455,1878,AUG,1878-08-01,20.5
456,1878,DEC,1878-12-01,-4.2
457,1878,FEB,1878-02-01,-3.0
458,1878,JAN,1878-01-01,-4.5
459,1878,JUL,1878-07-01,22.4
460,1878,JUN,1878-06-01,17.0
461,1878,MAR,1878-03-01,3.2
462,1878,MAY,1878-05-01,11.5
463,1878,NOV,1878-11-01,2.4
464,1878,OCT,1878-10-01,9.6
465,1878,SEP,1878-09-01,16.4
466,1879,APR,1879-04-01,4.2
467,1879,AUG,1879-08-01,18.5
468,1879,DEC,1879-12-01,-3.3
469,1879,FEB,1879-02-01,-8.1
470,1879,JAN,1879-01-01,-7.1
471,1879,JUL,1879-07-01,20.5
472,1879,JUN,1879-06-01,16.6
473,1879,MAR,1879-03-01,-1.8
474,1879,MAY,1879-05-01,12.0
475,1879,NOV,1879-11-01,2.0
476,1879,OCT,1879-10-01,12.7
477,1879,SEP,1879-09-01,13.2
478,1880,APR,1880-04-01,5.3
479,1880,AUG,1880-08-01,19.3
480,1880,DEC,1880-12-01,-6.1
481,1880,FEB,1880-02-01,-2.6
482,1880,JAN,1880-01-01,0.4
483,1880,JUL,1880-07-01,19.8
484,1880,JUN,1880-06-01,18.7
485,1880,MAR,1880-03-01,-1.6
486,1880,MAY,1880-05-01,14.7
487,1880,NOV,1880-11-01,-1.2
488,1880,OCT,1880-10-01,7.3
489,1880,SEP,1880-09-01,15.8
490,1881,APR,1881-04-01,4.3
491,1881,AUG,1881-08-01,21.2
492,1881,DEC,1881-12-01,1.0
493,1881,FEB,1881-02-01,-7.1
494,1881,JAN,1881-01-01,-9.0
495,1881,JUL,1881-07-01,21.5
496,1881,JUN,1881-06-01,15.3
497,1881,MAR,1881-03-01,-1.1
498,1881,MAY,1881-05-01,14.6
499,1881,NOV,1881-11-01,2.8
500,1881,OCT,1881-10-01,9.9
501,1881,SEP,1881-09-01,20.2
502,1882,APR,1882-04-01,4.6
503,1882,AUG,1882-08-01,19.8
504,1882,DEC,1882-12-01,-3.7
505,1882,FEB,1882-02-01,-1.0
506,1882,JAN,1882-01-01,-5.1
507,1882,JUL,1882-07-01,19.4
508,1882,JUN,1882-06-01,16.3
509,1882,MAR,1882-03-01,-0.2
510,1882,MAY,1882-05-01,9.5
511,1882,NOV,1882-11-01,2.0
512,1882,OCT,1882-10-01,10.9
513,1882,SEP,1882-09-01,16.4
514,1883,APR,1883-04-01,3.5
515,1883,AUG,1883-08-01,17.6
516,1883,DEC,1883-12-01,-3.5
517,1883,FEB,1883-02-01,-7.0
518,1883,JAN,1883-01-01,-8.2
519,1883,JUL,1883-07-01,18.5
520,1883,JUN,1883-06-01,16.6
521,1883,MAR,1883-03-01,-5.9
522,1883,MAY,1883-05-01,9.6
523,1883,NOV,1883-11-01,2.8
524,1883,OCT,1883-10-01,7.2
525,1883,SEP,1883-09-01,12.6
526,1884,APR,1884-04-01,5.0
527,1884,AUG,1884-08-01,18.5
528,1884,DEC,1884-12-01,-3.8
529,1884,FEB,1884-02-01,-4.9
530,1884,JAN,1884-01-01,-9.3
531,1884,JUL,1884-07-01,17.8
532,1884,JUN,1884-06-01,18.2
533,1884,MAR,1884-03-01,-2.3
534,1884,MAY,1884-05-01,10.6
535,1884,NOV,1884-11-01,1.1
536,1884,OCT,1884-10-01,9.1
537,1884,SEP,1884-09-01,16.5
538,1885,APR,1885-04-01,2.9
539,1885,AUG,1885-08-01,17.3
540,1885,DEC,1885-12-01,-2.6
541,1885,FEB,1885-02-01,-11.9
542,1885,JAN,1885-01-01,-8.2
543,1885,JUL,1885-07-01,19.9
544,1885,JUN,1885-06-01,15.6
545,1885,MAR,1885-03-01,-8.2
546,1885,MAY,1885-05-01,11.0
547,1885,NOV,1885-11-01,3.5
548,1885,OCT,1885-10-01,7.6
549,1885,SEP,1885-09-01,13.8
550,1886,APR,1886-04-01,7.2
551,1886,AUG,1886-08-01,18.7
552,1886,DEC,1886-12-01,-6.2
553,1886,FEB,1886-02-01,-7.7
554,1886,JAN,1886-01-01,-7.4
555,1886,JUL,1886-07-01,19.0
556,1886,JUN,1886-06-01,16.2
557,1886,MAR,1886-03-01,-1.2
558,1886,MAY,1886-05-01,11.7
559,1886,NOV,1886-11-01,2.0
560,1886,OCT,1886-10-01,9.1
561,1886,SEP,1886-09-01,14.9
562,1887,APR,1887-04-01,4.2
