Year,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
1962,66.8,72.6,10.7,33.8,29.0,65.8,96.5,36.3,154.7,79.8,72.9,55.1
1963,22.4,19.8,80.0,70.6,73.9,21.1,63.5,77.2,42.2,9.1,80.0,52.1
1964,64.0,38.6,88.9,67.8,41.7,44.5,126.0,137.7,10.2,48.8,42.2,65.8
1965,85.6,104.6,55.9,72.6,41.1,37.8,68.6,67.8,58.7,115.1,82.0,62.5
1966,67.3,38.1,59.4,50.0,50.3,61.2,20.8,62.7,62.0,15.2,147.1,90.9
1967,85.3,48.0,29.0,76.7,63.5,146.1,81.3,44.5,79.0,68.8,51.1,88.6
1968,104.6,37.8,58.4,31.5,101.1,74.7,41.9,167.1,76.7,46.2,100.8,96.5
1969,58.2,18.3,35.3,80.3,72.6,44.2,78.7,52.3,16.5,63.5,76.2,68.6
1970,35.1,26.9,46.5,85.3,56.1,35.6,107.4,98.6,53.1,86.1,47.8,84.6
1971,42.2,89.2,48.8,27.9,27.2,45.5,59.9,91.2,36.8,51.1,47.2,100.3
1972,42.7,78.5,96.3,59.7,47.8,74.4,82.8,91.4,81.0,85.1,75.2,112.8
1973,35.3,40.4,149.1,53.8,89.2,73.4,73.7,14.2,55.6,136.9,82.8,83.1
1974,54.9,43.7,55.1,81.5,144.3,133.6,29.5,58.9,53.1,28.4,63.8,45.2
1975,52.1,70.1,77.7,73.9,76.5,58.7,71.6,95.5,77.7,38.4,45.7,100.8
1976,65.0,54.4,140.7,62.7,86.1,83.6,92.7,31.2,76.2,46.2,12.4,44.2
1977,57.0,27.0,86.4,82.3,25.0,90.2,139.4,123.6,157.3,60.6,133.3,127.7
1978,90.6,20.9,48.7,63.2,58.3,22.0,41.2,74.8,131.0,38.2,61.1,66.8
1979,112.5,31.6,50.3,118.6,67.2,45.2,76.8,49.8,40.0,75.5,78.6,134.1
1980,44.4,19.6,103.8,117.2,48.1,85.2,87.0,39.6,55.2,81.6,43.9,59.3
1981,20.1,80.2,16.4,47.2,72.2,59.6,63.0,166.2,112.8,123.4,52.6,50.8
1982,87.8,39.2,74.2,49.1,66.5,129.4,48.1,113.5,112.6,36.1,112.0,78.8
1983,39.8,45.9,80.9,89.1,117.2,29.6,19.3,103.1,44.3,86.8,103.4,103.3
1984,48.7,87.7,60.3,66.0,100.0,53.7,44.0,56.8,81.3,22.8,69.8,63.1
1985,40.7,86.1,107.7,33.8,76.8,41.8,47.2,118.0,64.6,61.0,186.2,36.8
1986,31.6,51.4,61.4,49.4,71.6,81.2,87.6,191.7,217.8,56.2,52.0,108.1
1987,62.2,28.2,61.9,56.6,58.4,70.2,73.6,57.2,96.4,47.0,92.2,60.8
1988,30.0,71.8,26.8,60.2,37.2,16.6,81.2,53.2,79.2,79.0,68.8,43.2
1989,34.8,24.2,38.3,37.6,82.4,105.8,46.0,48.6,70.0,100.2,93.8,35.2
1990,44.8,94.4,30.4,56.7,89.2,69.2,69.6,101.6,51.2,96.8,47.6,131.9
1991,43.8,28.6,117.6,133.8,60.2,35.0,101.2,83.6,68.8,53.2,63.8,57.8
1992,43.0,36.4,33.0,110.4,74.6,35.4,101.6,109.8,113.0,77.4,115.2,64.0
1993,95.4,47.6,44.4,70.6,57.8,125.0,91.6,43.6,67.0,76.4,80.4,27.6
1994,65.0,28.2,55.0,91.0,90.4,33.6,52.4,63.8,54.8,33.4,71.0,56.0
1995,138.4,23.0,37.8,75.4,77.2,55.2,50.2,129.4,33.2,131.2,143.0,35.8
1996,74.6,44.2,44.4,106.2,92.4,126.2,123.2,47.4,202.4,75.8,30.8,109.6
1997,73.8,94.2,80.8,27.2,62.4,55.8,37.8,85.4,52.8,35.6,73.8,34.2
1998,106.0,47.8,101.2,48.6,59.2,83.6,54.8,32.0,49.0,22.8,38.6,44.8
1999,130.2,32.8,31.0,51.0,47.0,64.8,35.4,77.4,100.6,64.4,77.2,34.8
2000,28.4,47.6,21.6,84.2,135.2,162.2,42.0,35.2,65.2,20.0,54.2,77.8
2001,32.6,105.0,40.4,39.4,127.8,57.4,49.8,49.8,68.0,118.6,70.0,47.4
2002,45.2,36.4,61.2,111.2,94.0,53.8,87.0,16.0,58.6,39.0,81.2,31.7
